,id,title,recipe_name,usedIngredientCount,ingredients_used
4,652100,Mixed Bean Vegetarian Enchilada,Mixed Bean Vegetarian Enchilada,6,"['onions', 'carrots', 'cans tomatoes', 'wholemeal tortillas', 'natural yogurt', 'extra-mature cheddar cheese']"
5,652576,"Mulligatawny - Quick, Curried Soup Using Trader Joe's Ingredients","Mulligatawny - Quick, Curried Soup Using Trader Joe's Ingredients",6,"[""container trader joe's mirepoix"", 'chicken breast', ""trader joe's masala simmer sauce"", 'canned tomatoes', ""yogurt such as trader joe's cream line yogurt"", ""trader joe's jasmine rice""]"
8,650127,Linguine in Cream Sauce with Poached Eggs and Bacon,Linguine in Cream Sauce with Poached Eggs and Bacon,5,"['bacon', 'eggs', 'linguine', 'milk', 'onion']"
9,949421,Fried Egg Tacos,Fried Egg Tacos,5,"['warm tortilla', 'greek yogurt', 'fried egg', 'avocado', 'scallions']"
7,654879,Pasta Roses With Zucchini and Ham,Pasta Roses With Zucchini and Ham,5,"['fontina cheese in thinnest pos', 'ham in or', 'bechamel sauce', 'optional: parmigiano reggiano to sprinkle on top', 'freshly made pasta wide rectangles as']"
6,715521,Turkey Avocado BLT Salad,Turkey Avocado BLT Salad,5,"['avocado', 'roma tomato', 'salad leaves', 'center cut bacon', 'turkey breast']"
33,1017374,Easy Weekday Breakfast Muffins,Easy Weekday Breakfast Muffins,5,"['eggs', 'milk', 'sm onion', 'cheese', 'turkey']"
32,663553,Tomato and Bacon Pizza With Rice Crust,Tomato and Bacon Pizza With Rice Crust,5,"['rice', 'egg', 'mozzarella cheese', 'tomatoes', 'at least of turkey bacon']"
38,1697823,Bacon-Apple-Pecan Stuffed French Toast,Bacon-Apple-Pecan Stuffed French Toast,5,"['an apple', 'bacon', 'mascarpone', 'egg', 'milk']"
37,634658,Beef rolls with vegetables,Beef rolls with vegetables,5,"['bacon', 'beef steaks', 'carrot', 'onion', 'tomatoes']"
34,636769,Mini Ham Omelets,Mini Ham Omelets,5,"['cherry tomatoes', 'eggs', 'milk', 'onions', 'parmesan cheese']"
